Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Pie chart;Social advice;blue button;correct;incorrect;timeout;Color advice;yellow button;Unnamed: 0;Unnamed: 0.1;block;number;__EMPTY;key
1;1647259992300;14/03/2022 12:13:12;1647259992139;0;14/03/2022 12:13:12;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;
2;1647260000257;14/03/2022 12:13:20;1647259999922;0;14/03/2022 12:13:19;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;1;1;1;FullscreenCheck;script;force_advance;7191;;;;;0;1;0;;;;;;ScreenCheck;;;;;;;;;;0;0;;;0;7
3;1647260059175;14/03/2022 12:14:19;1647260058850;0;14/03/2022 12:14:18;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;2;1;1;GeneralInstruction;advancementZone;continue_button;58882;;;;;0;1;0;;;;;;Introduction;;;;;;;;;;1;1;Introduction;;1;7
4;1647260068953;14/03/2022 12:14:28;1647260068582;0;14/03/2022 12:14:28;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;2;1;2;PracticeInstruction;advancementZone;continue_button;9716;;;;;0;1;0;;;;;;Introduction;;;;;;;;;;1;1;Introduction;;1;7
5;1647260069078;14/03/2022 12:14:29;1647260068594;0;14/03/2022 12:14:28;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;3;1;1;Screen 1;Zone1;timelimit_screen;36;;;;;0;1;0;;;1;;;HiddenScoreSetPractice;;;;;;;;;;2;2;HiddenScoreSetPractice;;2;7
6;1647260069188;14/03/2022 12:14:29;1647260069046;0;14/03/2022 12:14:29;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;9;1;1;Fixation;fixation;fixation;453;;;;;0;1;0;;;;;1;B1J;yellow buttonYB.png;2575YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;8;8;Practice;;8;7
7;1647260072845;14/03/2022 12:14:32;1647260072515;0;14/03/2022 12:14:32;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;9;1;2;Start;ButtonBlue;response_button_image;3411;;;blue buttonYB.png;1;0;1;0;;;;;1;B1J;yellow buttonYB.png;2575YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;8;8;Practice;;8;7
8;1647260073724;14/03/2022 12:14:33;1647260073492;0;14/03/2022 12:14:33;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;9;1;4;Incorrect;Zone6;timelimit_screen;1003;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;2575YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;8;8;Practice;;8;7
9;1647260073832;14/03/2022 12:14:33;1647260073540;0;14/03/2022 12:14:33;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;9;1;6;ProgBarUpdate;Zone6;timelimit_screen;50;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;2575YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;8;8;Practice;;8;7
10;1647260073832;14/03/2022 12:14:33;1647260073545;0;14/03/2022 12:14:33;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;PracticeScore;;;;;;;;;3;0;1;0;;;;;;;;;;;;;;;;;;;;;
11;1647260075224;14/03/2022 12:14:35;1647260075046;0;14/03/2022 12:14:35;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;9;1;7;Outcome;Zone6;timelimit_screen;1504;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;2575YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;8;8;Practice;;8;7
12;1647260075646;14/03/2022 12:14:35;1647260075495;0;14/03/2022 12:14:35;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;2;1;Fixation;fixation;fixation;451;;;;;0;1;0;;;;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;7
13;1647260077355;14/03/2022 12:14:37;1647260077023;0;14/03/2022 12:14:37;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;2;2;Start;ButtonYellow;response_button_image;1471.9999999999854;;;yellow buttonYB.png;1;1;0;0;;;;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;7
14;1647260078198;14/03/2022 12:14:38;1647260078004;0;14/03/2022 12:14:38;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;2;3;Correct;Zone6;timelimit_screen;1003;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;7
15;1647260078318;14/03/2022 12:14:38;1647260078055;0;14/03/2022 12:14:38;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;2;6;ProgBarUpdate;Zone6;timelimit_screen;54;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;7
16;1647260078318;14/03/2022 12:14:38;1647260078060;0;14/03/2022 12:14:38;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;PracticeScore;;;;;;;;;4;0;1;0;;;;;;;;;;;;;;;;;;;;;
17;1647260079725;14/03/2022 12:14:39;1647260079556;0;14/03/2022 12:14:39;74063;16;task-gtz3;;20361936;Xinru;6038646;;complete;;;mobile;Apple iPhone;iOS 15.0.2;Mobile Safari 15.0;390x844;750x372;Social_Task_Done;;;SocialTask2021;1;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;2;7;Outcome;Zone6;timelimit_screen;1500;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;7
