Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;ANSWER;Pie chart;Social advice;blue button;correct;incorrect;timeout;Color advice;yellow button;Unnamed: 0;Unnamed: 0.1;block;number;__EMPTY;key
1;1659703987308;05/08/2022 12:53:07;1659703986894;3;05/08/2022 15:53:06;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;
2;1659704038439;05/08/2022 12:53:58;1659704035423;3;05/08/2022 15:53:55;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;1;1;1;FullscreenCheck;script;force_advance;15626;;;;;0;1;0;;;;;;ScreenCheck;;;;;;;;;;0;0;;;0;6
3;1659704128810;05/08/2022 12:55:28;1659704124536;3;05/08/2022 15:55:24;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;2;1;1;GeneralInstruction;advancementZone;continue_button;88359.00000000003;;;;;0;1;0;;;;;;Introduction;;;;;;;;;;1;1;Introduction;;1;6
4;1659704167242;05/08/2022 12:56:07;1659704150517;3;05/08/2022 15:55:50;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;2;1;2;PracticeInstruction;advancementZone;continue_button;25897;;;;;0;1;0;;;;;;Introduction;;;;;;;;;;1;1;Introduction;;1;6
5;1659704167692;05/08/2022 12:56:07;1659704150587;3;05/08/2022 15:55:50;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;3;1;1;Screen 1;Zone1;timelimit_screen;129;;;;;0;1;0;;;1;;;HiddenScoreSetPractice;;;;;;;;;;2;2;HiddenScoreSetPractice;;2;6
6;1659704167692;05/08/2022 12:56:07;1659704151117;3;05/08/2022 15:55:51;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;1;1;Fixation;fixation;fixation;554;;;;;0;1;0;;;;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;6
7;1659704167692;05/08/2022 12:56:07;1659704156124;3;05/08/2022 15:55:56;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;1;2;Start;Zone6;timelimit_screen;5000;;;3000;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;6
8;1659704167692;05/08/2022 12:56:07;1659704157122;3;05/08/2022 15:55:57;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;1;5;Time Out;Zone6;timelimit_screen;1001;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;6
9;1659704167692;05/08/2022 12:56:07;1659704157446;3;05/08/2022 15:55:57;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;all_spreadsheets;7;1;6;ProgBarUpdate;Zone6;timelimit_screen;328;;;;;0;1;0;;;1;;1;B1J;yellow buttonYB.png;7525YB.png;social_advice.png;blue buttonYB.png;correct.png;incorrect.png;timeout.png;yellow buttonYB.png;yellow buttonYB.png;6;6;Practice;;6;6
10;1659704167692;05/08/2022 12:56:07;1659704157479;3;05/08/2022 15:55:57;74063;32;task-j2h4;;23493645;bxp64grn;6886190;;complete;;;mobile;Apple iPhone;iOS 12.5.4;Mobile Safari 12.1.2;414x736;736x414;Social_Task_Done;;;SocialTask2021;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;all_spreadsheets;;;PracticeScore;;;;;;;;;4;0;1;0;;;;;;;;;;;;;;;;;;;;;
