Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;age;country-1;country-text;country-other;sex-1;sex-2;sex-3;sex-text;sex-other;education-1;education-2;education-3;education-4;education-5;education-text;education-other;occupation-1;occupation-2;occupation-3;occupation-4;occupation-5;occupation-text;occupation-other;mental_health_disorder_yes_no-1;mental_health_disorder_yes_no-text;mental_health_disorder_yes_no-other;ethnicity-1;ethnicity-2;ethnicity-3;ethnicity-4;ethnicity-text;ethnicity-other;END QUESTIONNAIRE
1;1673734227115;14/01/2023 22:10:27;1673734227121;0;14/01/2023 22:10:27;74063;38;questionnaire-s5wi;;26393191;z7sxx0r3;7788845;;live;;;mobile;Google Pixel 6a;Android 13;Chrome 108.0.0.0;412x915;412x742;CEQ_done_no_cannabis;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;20;United Kingdom;;;;Female;;;;;High School;;;;;;;;;Student;;;;No;;;;Asian or Asian British;;;;;34287
1;1673736081647;14/01/2023 22:41:21;1673736081509;0;14/01/2023 22:41:21;74063;38;questionnaire-s5wi;;26393427;4e8a0k65;7788920;;live;;;mobile;Apple iPhone;iOS 16.2;Instagram 265.0.0.13.302;375x812;375x742;CEQ_done_no_cannabis;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;22;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;White;;;;;;29155
1;1673777071919;15/01/2023 10:04:31;1673777071859;2;15/01/2023 12:04:31;74063;38;questionnaire-s5wi;;26395320;nqol9jxt;7790104;;complete;;;mobile;Apple iPhone;iOS 15.6;Mobile Safari 15.6;414x896;800x328;Space Task Done;;;Demographics;8;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;20;United Kingdom;;;;;Non-binary;;;;;Bachelor's Degree;;;;;;;;Student;;;;;depression;Yes (please specify);White;;;;;;31915
1;1674453623812;23/01/2023 06:00:23;1674453617940;3;23/01/2023 09:00:17;74063;38;questionnaire-s5wi;;26551091;bhnla6b1;7847801;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Social_Task_Done;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;24;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;White;;;;;;20624
1;1674453985741;23/01/2023 06:06:25;1674453985605;-8;22/01/2023 22:06:25;74063;38;questionnaire-s5wi;;26551109;1cjafc59;7847806;;complete;;;computer;Desktop or Laptop;Linux x86_64;Chrome 108.0.0.0;1366x768;1366x664;Space Task Done;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;28;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;White;;;;;;20941
1;1674539662263;24/01/2023 05:54:22;1674539661505;-5;24/01/2023 00:54:21;74063;38;questionnaire-s5wi;;26583539;zdaet5k1;7859521;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Space Task Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;24;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;White;;;;;;31553
1;1674544524005;24/01/2023 07:15:24;1674544523107;-5;24/01/2023 02:15:23;74063;38;questionnaire-s5wi;;26584073;zfw30hdh;7859634;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1280x720;1280x609;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;25;United Kingdom;;;Male;;;;;;High School;;;;;;Full time employment;;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;27389
1;1674729736841;26/01/2023 10:42:16;1674729736623;3;26/01/2023 13:42:16;74063;38;questionnaire-s5wi;;26667627;r7w32zc4;7900976;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 109.0.0.0;1366x768;1366x625;Social Task Done;;;Demographics;8;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;Social Task Done;No;23;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;50226
1;1674884754805;28/01/2023 05:45:54;1674884755023;3;28/01/2023 08:45:55;74063;38;questionnaire-s5wi;;26728022;jr0py7qj;7930440;;live;;;mobile;undefined TECNO CD6j;Android 10;Chrome 108.0.0.0;360x800;360x656;CEQ__cannabis_user_done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;22;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;;Not employed;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;21181
1;1674895958055;28/01/2023 08:52:38;1674895957927;3;28/01/2023 11:52:37;74063;38;questionnaire-s5wi;;26728831;zku9cm7q;7930652;;complete;;;mobile;undefined Infinix X656;Android 10;Chrome 109.0.0.0;450x1000;450x846;Social_Task_Done;;;Demographics;8;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;24;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;No;;;White;;;;;;28380
