Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;age;country-1;country-text;country-other;sex-1;sex-2;sex-3;sex-text;sex-other;education-1;education-2;education-3;education-4;education-5;education-text;education-other;occupation-1;occupation-2;occupation-3;occupation-4;occupation-5;occupation-text;occupation-other;mental_health_disorder_yes_no-1;mental_health_disorder_yes_no-text;mental_health_disorder_yes_no-other;ethnicity-1;ethnicity-2;ethnicity-3;ethnicity-4;ethnicity-text;ethnicity-other;END QUESTIONNAIRE
1;1678810635751;14/03/2023 16:17:15;1678810635582;1;14/03/2023 17:17:15;74063;40;questionnaire-s5wi;;28127568;2abi012t;8352050;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1440x820;CEQ__cannabis_user_done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;22;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;White;;;;;;33767
1;1678812387394;14/03/2023 16:46:27;1678812388368;0;14/03/2023 16:46:28;74063;40;questionnaire-s5wi;;28128545;2ll5hoda;8352378;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1536x864;1024x476;Space Task Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;32;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;;PTSD;Yes (please specify);;;;Mixed or Multiple ethnic background;;;31136
1;1678823653185;14/03/2023 19:54:13;1678823653111;0;14/03/2023 19:54:13;74063;40;questionnaire-s5wi;;28134637;a9nr032p;8354391;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.2;1512x982;1372x728;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;24;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;;Asian or Asian British;;;;;21311
1;1678830758966;14/03/2023 21:52:38;1678830758875;0;14/03/2023 21:52:38;74063;40;questionnaire-s5wi;;28137493;lq4s5l43;8355510;;complete;;;mobile;Apple iPhone;iOS 15.6.1;Mobile Safari 15.6.1;414x896;800x331;Social_Task_Done;;;Demographics;9;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;21;United Kingdom;;;;Female;;;;;;;Master's Degree;;;;;Part-time employment;;;;;;No;;;White;;;;;;27182
1;1678832917678;14/03/2023 22:28:37;1678832916639;0;14/03/2023 22:28:36;74063;40;questionnaire-s5wi;;28138269;2t8eiomb;8355791;;live;;;mobile;undefined HD1911;Android 11;Chrome 110.0.0.0;892x412;836x319;Social Task Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;No;26;United Kingdom;;;;Female;;;;;;;Master's Degree;;;;;;;Student;;;;No;;;;Asian or Asian British;;;;;42789
1;1678971599733;16/03/2023 12:59:59;1678964387890;-7;16/03/2023 03:59:47;74063;40;questionnaire-s5wi;;28181143;psou3m4n;8371819;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 111.0.0.0;1280x720;1280x609;CEQ_done_no_cannabis;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;;No;24;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;Part-time employment;;;;;;No;;;;;Black/Black African/Black Caribbean/Black British;;;;27686
1;1678981401825;16/03/2023 15:43:21;1678981402056;0;16/03/2023 15:43:22;74063;40;questionnaire-s5wi;;28187018;9lzcphy4;8373661;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 111.0.0.0;1280x800;1280x649;Space Task Done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;22;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;White;;;;;;53540
1;1679045024451;17/03/2023 09:23:44;1679045024365;0;17/03/2023 09:23:44;74063;40;questionnaire-s5wi;;28209054;dilvpb3c;8380762;;live;;;mobile;Apple iPhone;iOS 16.3.1;Mobile Safari 16.3;414x896;414x715;CEQ_done_no_cannabis;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;21;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;;;;Student;;;;No;;;White;;;;;;18051
1;1679056681509;17/03/2023 12:38:01;1679056680999;0;17/03/2023 12:38:00;74063;40;questionnaire-s5wi;;28214309;vo62vm52;8382204;;live;;;mobile;Samsung SM-A326B;Android 13;Chrome 111.0.0.0;385x854;384x722;CEQ__cannabis_user_done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;26;United Kingdom;;;Male;;;;;;High School;;;;;;Full time employment;;;;;;;No;;;;;;Mixed or Multiple ethnic background;;;32479
1;1679223850461;19/03/2023 11:04:10;1679223850363;0;19/03/2023 11:04:10;74063;40;questionnaire-s5wi;;28246815;9ob1pur9;8390964;;live;;;mobile;Apple iPhone;iOS 16.0;Mobile Safari 16.0;428x926;428x746;CEQ__cannabis_user_done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;24;United Kingdom;;;;Female;;;;;;Bachelor's Degree;;;;;Full time employment;;;;;;;;severe depression;Yes (please specify);;Asian or Asian British;;;;;37136
1;1679399502134;21/03/2023 11:51:42;1679399501601;0;21/03/2023 11:51:41;74063;40;questionnaire-s5wi;;28297036;b4oxs0yu;8404668;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1280x720;1280x569;CEQ__cannabis_user_done;;;Demographics;9;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;27;United Kingdom;;;Male;;;;;;;Bachelor's Degree;;;;;;;Not employed;;;;;;depression , anxiety;Yes (please specify);;;Black/Black African/Black Caribbean/Black British;;;;449619
1;1679414127086;21/03/2023 15:55:27;1679414126955;5.5;21/03/2023 21:25:26;74063;40;questionnaire-s5wi;;28307163;5w8rjxic;8408223;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 111.0.5563.72;414x896;414x720;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;27;;India;Other (please specify);Male;;;;;;;;Master's Degree;;;;Full time employment;;;;;;;No;;;;Asian or Asian British;;;;;20195
1;1679418306242;21/03/2023 17:05:06;1679418306163;0;21/03/2023 17:05:06;74063;40;questionnaire-s5wi;;28309570;g1tic9b3;8409288;;complete;;;mobile;Apple iPhone;iOS 16.1;Mobile Safari 16.1;428x926;428x746;Space Task Done;;;Demographics;9;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;22;United Kingdom;;;;Female;;;;;;;Master's Degree;;;;;;;Student;;;;No;;;;Asian or Asian British;;;;;35621
1;1679433242086;21/03/2023 21:14:02;1679433242211;0;21/03/2023 21:14:02;74063;40;questionnaire-s5wi;;28316237;ht8fnrue;8411450;;complete;;;mobile;Samsung SM-G991B;Android 13;Chrome 111.0.0.0;360x800;360x670;Social_Task_Done;;;Demographics;9;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;29;United Kingdom;;;Male;;;;;;;;Master's Degree;;;;Full time employment;;;;;;;No;;;White;;;;;;53322
