Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;Randomise questionnaire elements?;Understanding;Reading_Information;Inclusion_Criteria;Withdraw_Keep_Info;Understand_dataprotection;understand_GDPR;Understanding_Not_Identifiable;Use_data_future_research;END QUESTIONNAIRE
1;1678810595712;14/03/2023 16:16:35;1678810595552;1;14/03/2023 17:16:35;74063;40;questionnaire-vlry;;28127542;2abi012t;8352050;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1440x820;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;1;1;1;1;1;1;1;1;8225
1;1678812289301;14/03/2023 16:44:49;1678812290288;0;14/03/2023 16:44:50;74063;40;questionnaire-vlry;;28128481;2ll5hoda;8352378;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1536x864;1024x476;Space Task Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;18261
1;1678823575134;14/03/2023 19:52:55;1678823575012;0;14/03/2023 19:52:55;74063;40;questionnaire-vlry;;28134626;a9nr032p;8354391;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.2;1512x982;1372x728;Space Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;46636
1;1678830702663;14/03/2023 21:51:42;1678830702600;0;14/03/2023 21:51:42;74063;40;questionnaire-vlry;;28137481;lq4s5l43;8355510;;complete;;;mobile;Apple iPhone;iOS 15.6.1;Mobile Safari 15.6.1;414x896;800x331;Social_Task_Done;;;Consent;4;cannabis_yes;regular_ever_no;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;Social_Task_Done;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;8865
1;1678832838840;14/03/2023 22:27:18;1678832837799;0;14/03/2023 22:27:17;74063;40;questionnaire-vlry;;28138244;2t8eiomb;8355791;;live;;;mobile;undefined HD1911;Android 11;Chrome 110.0.0.0;412x892;412x743;Social Task Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;Social Task Done;No;1;1;1;1;1;1;1;1;21502
1;1678971508624;16/03/2023 12:58:28;1678964296782;-7;16/03/2023 03:58:16;74063;40;questionnaire-vlry;;28181123;psou3m4n;8371819;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 111.0.0.0;1280x720;1280x609;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;;;No;1;1;1;1;1;1;1;1;10740
1;1678981262675;16/03/2023 15:41:02;1678981262879;0;16/03/2023 15:41:02;74063;40;questionnaire-vlry;;28186936;9lzcphy4;8373661;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 111.0.0.0;1280x800;1280x649;Space Task Done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;9803
1;1679044992934;17/03/2023 09:23:12;1679044992837;0;17/03/2023 09:23:12;74063;40;questionnaire-vlry;;28209044;dilvpb3c;8380762;;live;;;mobile;Apple iPhone;iOS 16.3.1;Mobile Safari 16.3;414x896;414x715;CEQ_done_no_cannabis;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;6721
1;1679056610325;17/03/2023 12:36:50;1679056609812;0;17/03/2023 12:36:49;74063;40;questionnaire-vlry;;28214267;vo62vm52;8382204;;live;;;mobile;Samsung SM-A326B;Android 13;Chrome 111.0.0.0;385x854;384x722;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;13310
1;1679223807041;19/03/2023 11:03:27;1679223806941;0;19/03/2023 11:03:26;74063;40;questionnaire-vlry;;28246804;9ob1pur9;8390964;;live;;;mobile;Apple iPhone;iOS 16.0;Mobile Safari 16.0;428x926;428x746;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;;;No;1;1;1;1;1;1;1;1;5918
1;1679399466395;21/03/2023 11:51:06;1679399465835;0;21/03/2023 11:51:05;74063;40;questionnaire-vlry;;28296976;b4oxs0yu;8404668;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1280x720;1280x569;CEQ__cannabis_user_done;;;Consent;4;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;No;1;1;1;1;1;1;1;1;13299
1;1679412191569;21/03/2023 15:23:11;1679412191299;5.5;21/03/2023 20:53:11;74063;40;questionnaire-vlry;;28305873;5w8rjxic;8408223;;complete;;;mobile;Apple iPhone;iOS 15.4;Chrome 111.0.5563.72;414x896;414x814;Space Task Done;;;Consent;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;No;1;1;1;1;1;1;1;1;10822
